"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",3799,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",32779,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",914,,
"ITF","Sud","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",54041,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",7593,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",15773,,
"ITE","Centro","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",42460,,
"ITD","Nord-est","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",85709,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",5217,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",20595,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",4628,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",949,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",2745,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",14770,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",4003,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",4494,,
"ITG","Isole","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",48670,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",417,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",21734,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",2176,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",3639,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",76022,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",1796,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",436785,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",17210,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",24392,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",5309,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",4728,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",4457,,
"ITD","Nord-est","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",41510,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",8971,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",10140,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",14291,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",39459,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",36924,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",17006,,
"ITC","Nord-ovest","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",114882,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",2757,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",19203,,
"ITC","Nord-ovest","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",55975,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",9211,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",14777,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",12158,,
"ITE","Centro","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",82881,,
